Indicator,Value,Year,Footnote,Source,Economy,Country Code,Region,Theme,Definition,Unit
External Trade: Exports (% change),29.15611,2010,Data for 2000 are based on balance of payments estimates.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner. Refers to the annual rate of change.",percent
External Trade: Imports (% change),21.38674,2010,Data for 2000 are based on balance of payments estimates.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner. Refers to the annual rate of change.",percent
Current account balance,-633328000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Sum of net exports of goods, services, net income, and net current transfers.",US Dollar
"Balance on goods, net",2217568000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Difference between exports and imports of goods.,US Dollar
"BOP: Goods, Exports (fob)",5749264000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold.",US Dollars
"BOP: Goods, Imports (fob)",-3531696000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold.",US Dollars
"Services and Income, Net",-3040784000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollar
Services and Income: Credit,352544000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollars
Services and Income: Debit,-3393328000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollars
"Current Transfers, Net",189888000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Current transfers include general government (e.g. current international cooperation between different governments, payments of current taxes on income and wealth, etc.), and other transfers (e.g. workers` remittances, premiums-less service charges, and claims on non-life insurance).",US Dollar
Current Transfers: Credit,438656000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Current transfers include general government (e.g., current international cooperation between different governments, payments of current taxes on income and wealth, etc.), and other transfers (e.g., workers' remittances, premiums-less service charges, and claims on non-life insurance).",US Dollars
Current Transfers: Debit,-248768000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Current transfers include general government (e.g., current international cooperation between different governments, payments of current taxes on income and wealth, etc.), and other transfers (e.g., workers' remittances, premiums-less service charges, and claims on non-life insurance).",US Dollars
Capital Account Balance,37168000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all transactions that involve the receipt or payment of capital transfers and acquisition or disposal of nonproduced, nonfinancial assets.",US Dollar
Financial Account,1079712000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all transactions associated with changes of ownership in the foreign financial assets and liabilities of an economy. Such changes include the creation and liquidation of claims on, or by, the rest of the world.",US Dollar
"Direct Investment, Net",28704000,2010,"Follows the IMF Balance of Payment Manual 5 format starting 2002. Includes official and private capital flows, unofficial monetary sector transactions, change in offshore accounts balances, and revaluations.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Covers all transactions between direct investors and direct investment enterprises.,US Dollar
"Portfolio Investment, Net",-104512000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Covers transactions in equity securities and debt securities.,US Dollar
Financial Derivatives,-7728000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Financial instruments that are linked to a specific financial instrument or indicator or commodity, and through which specific financial risks can be traded in financial markets in their own right.",US Dollar
Other Investment,1163248000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers short- and long-term trade credits; loans (including use of Fund credit, loans from the Fund, and loans associated with financial leases); currency and deposits (transferable and other such as savings and term deposits, savings and loan shares, shares in credit unions, etc.); and other accounts receivable and payable.",US Dollar
Net Errors and Omissions,-91264000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Data for balance of payments estimates often are derived independently from different sources; as a result, there may be a summary net credit or net debit (i.e., net errors and omissions in the accounts). A separate entry, equal to that amount with the sign reversed, is then made to balance the accounts.",US Dollar
Overall Balance,392288000,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Equal to the sum of current and capital and financial account transactions, with the exclusion of transactions in reserve assets and exceptional financing.",US Dollar
BOP: Exports (% of GDP),40.34351,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold, expressed as a percentage of GDP.",percent
BOP: Imports (% of GDP),24.78248,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold, expressed as a percentage of GDP.",percent
Current Account Balance (% of GDP),-4.44416,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Sum of net exports of goods, services, net income, and net current transfers, expressed as a percentage of GDP.",percent
Overall Balance (% of GDP),2.75275,2010,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Equal to the sum of current and capital and financial account transactions, with the exclusion of transactions in reserve assets and exceptional financing, expressed as a percentage of GDP.",percent
Gross Domestic Product at Current Prices,14250778696,2010,"After 2006, data was taken from the National Budget Report of the Treasury Department.",National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,Unduplicated market value of the total production activity of all resident producer units within the economic territory of a country during a given period.,US Dollar
Agriculture (% of GDP),20.23109,2010,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Gross output of agriculture less the corresponding value of intermediate consumption, expressed as a percentage of GDP. Agriculture includes hunting, forestry, and fishing.",percent
Electricity production,3486000000,2009,NULL,United Nations,Papua New Guinea,PNG,The Pacific,Energy and Electricity,NULL,kilowatt-hour
Electricity production,3631000000,2010,NULL,United Nations,Papua New Guinea,PNG,The Pacific,Energy and Electricity,NULL,kilowatt-hour
Electricity consumption (kwh),3486000000,2009,NULL,United Nations,Papua New Guinea,PNG,The Pacific,Energy and Electricity,NULL,kilowatt-hour
Electricity consumption (kwh),3630000000,2010,NULL,United Nations,Papua New Guinea,PNG,The Pacific,Energy and Electricity,NULL,kilowatt-hour
Reserves and Related Items,-327770440,1996,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Refers to the sum of transactions in reserves assets, exceptional financing, and use of Fund credit and loans.",US Dollar
Reserves and Related Items,85784160,1997,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Refers to the sum of transactions in reserves assets, exceptional financing, and use of Fund credit and loans.",US Dollar
Reserves and Related Items,-59024290,1998,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Refers to the sum of transactions in reserves assets, exceptional financing, and use of Fund credit and loans.",US Dollar
Reserves and Related Items,-441824160,1999,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Refers to the sum of transactions in reserves assets, exceptional financing, and use of Fund credit and loans.",US Dollar
Reserves and Related Items,-280000000,2001,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Refers to the sum of transactions in reserves assets, exceptional financing, and use of Fund credit and loans.",US Dollar
"Fertility rate, total (births per woman)",4.653,1996,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"Fertility rate, total (births per woman)",4.632,1997,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"Fertility rate, total (births per woman)",4.604,1998,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"Fertility rate, total (births per woman)",4.569,1999,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"Fertility rate, total (births per woman)",4.525,2000,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"Fertility rate, total (births per woman)",4.475,2001,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"Fertility rate, total (births per woman)",4.422,2002,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"Fertility rate, total (births per woman)",4.368,2003,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"Fertility rate, total (births per woman)",4.315,2004,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"Fertility rate, total (births per woman)",4.263,2005,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"Fertility rate, total (births per woman)",4.21,2006,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"Fertility rate, total (births per woman)",4.156,2007,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"Fertility rate, total (births per woman)",4.101,2008,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"Fertility rate, total (births per woman)",4.043,2009,NULL,World Bank,Papua New Guinea,PNG,The Pacific,People,Number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,births per woman
"GNI per Capita, Atlas Method (current US$)",1780,2010,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Economy and Output,"The gross national income (formerly GNP per capita) converted to US dollars using the World Bank Atlas method, divided by the midyear population.",US Dollar
"PPP conversion factor, GDP (national currency per international dollar)",0.54954,1996,For most economies PPP figures are extrapolated from the 2011 International Comparison Program (ICP) benchmark estimates or imputed using a statistical model based on the 2011 ICP.,World Bank,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Number of units of country currency that are needed in country B to purchase the same quantity of an individual good or service, which one unit of country Aís currency can purchase in country A.",National Currency Unit per US Dollar
"PPP conversion factor, GDP (national currency per international dollar)",0.58582,1997,For most economies PPP figures are extrapolated from the 2011 International Comparison Program (ICP) benchmark estimates or imputed using a statistical model based on the 2011 ICP.,World Bank,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Number of units of country currency that are needed in country B to purchase the same quantity of an individual good or service, which one unit of country Aís currency can purchase in country A.",National Currency Unit per US Dollar
"PPP conversion factor, GDP (national currency per international dollar)",0.66382,1998,For most economies PPP figures are extrapolated from the 2011 International Comparison Program (ICP) benchmark estimates or imputed using a statistical model based on the 2011 ICP.,World Bank,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Number of units of country currency that are needed in country B to purchase the same quantity of an individual good or service, which one unit of country Aís currency can purchase in country A.",National Currency Unit per US Dollar
"PPP conversion factor, GDP (national currency per international dollar)",0.72618,1999,For most economies PPP figures are extrapolated from the 2011 International Comparison Program (ICP) benchmark estimates or imputed using a statistical model based on the 2011 ICP.,World Bank,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Number of units of country currency that are needed in country B to purchase the same quantity of an individual good or service, which one unit of country Aís currency can purchase in country A.",National Currency Unit per US Dollar
"Price Level Index, PPPs to Official Exchange Rate",52.36886,2007,NULL,ADB Staff Estimate,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Ratio of the relevant PPP to the exchange rate, expressed as an index on a base of 100.","PPP to official exchange rate, United States = 100"
"Price Level Index, PPPs to Official Exchange Rate",62.98568,2008,NULL,ADB Staff Estimate,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Ratio of the relevant PPP to the exchange rate, expressed as an index on a base of 100.","PPP to official exchange rate, United States = 100"
"Price Level Index, PPPs to Official Exchange Rate",58.27036,2009,NULL,ADB Staff Estimate,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Ratio of the relevant PPP to the exchange rate, expressed as an index on a base of 100.","PPP to official exchange rate, United States = 100"
"Price Level Index, PPPs to Official Exchange Rate",64.11306,2010,NULL,ADB Staff Estimate,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Ratio of the relevant PPP to the exchange rate, expressed as an index on a base of 100.","PPP to official exchange rate, United States = 100"
Formal Cost Required for Business Start-up (% of GNI per capita),28.8,2003,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Cost to register a business normalized by presenting it as a percentage of GNI per capita. It includes all official fees and fees for legal or professional services if such services are required by law.,percent
Formal Cost Required for Business Start-up (% of GNI per capita),28.2,2004,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Cost to register a business normalized by presenting it as a percentage of GNI per capita. It includes all official fees and fees for legal or professional services if such services are required by law.,percent
Formal Cost Required for Business Start-up (% of GNI per capita),27.7,2005,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Cost to register a business normalized by presenting it as a percentage of GNI per capita. It includes all official fees and fees for legal or professional services if such services are required by law.,percent
Formal Cost Required for Business Start-up (% of GNI per capita),23.8,2006,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Cost to register a business normalized by presenting it as a percentage of GNI per capita. It includes all official fees and fees for legal or professional services if such services are required by law.,percent
Formal Cost Required for Business Start-up (% of GNI per capita),24.2,2007,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Cost to register a business normalized by presenting it as a percentage of GNI per capita. It includes all official fees and fees for legal or professional services if such services are required by law.,percent
Formal Cost Required for Business Start-up (% of GNI per capita),21.7,2008,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Cost to register a business normalized by presenting it as a percentage of GNI per capita. It includes all official fees and fees for legal or professional services if such services are required by law.,percent
Formal Cost Required for Business Start-up (% of GNI per capita),18.9,2009,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Cost to register a business normalized by presenting it as a percentage of GNI per capita. It includes all official fees and fees for legal or professional services if such services are required by law.,percent
Days required for business start up,52,2003,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Number of calendar days needed to complete the procedures to legally operate a business.,days
Days required for business start up,52,2004,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Number of calendar days needed to complete the procedures to legally operate a business.,days
Days required for business start up,52,2005,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Number of calendar days needed to complete the procedures to legally operate a business.,days
Days required for business start up,52,2006,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Number of calendar days needed to complete the procedures to legally operate a business.,days
Days required for business start up,52,2007,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Number of calendar days needed to complete the procedures to legally operate a business.,days
Days required for business start up,52,2008,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Number of calendar days needed to complete the procedures to legally operate a business.,days
Days required for business start up,52,2009,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Number of calendar days needed to complete the procedures to legally operate a business.,days
Days required for business start up,52,2010,NULL,World Bank,Papua New Guinea,PNG,The Pacific,Government and Governance,Number of calendar days needed to complete the procedures to legally operate a business.,days
Balance on Goods (% of GDP),27.72375,2004,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Difference between exports and imports of goods, expressed as a percentage of GDP.",percent
Balance on Goods (% of GDP),27.36488,2003,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Difference between exports and imports of goods, expressed as a percentage of GDP.",percent
Balance on Goods (% of GDP),26.65654,2006,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Difference between exports and imports of goods, expressed as a percentage of GDP.",percent
Balance on Goods (% of GDP),15.56103,2010,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Difference between exports and imports of goods, expressed as a percentage of GDP.",percent
Balance on Goods (% of GDP),36.82978,2005,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Difference between exports and imports of goods, expressed as a percentage of GDP.",percent
Balance on Goods (% of GDP),22.21262,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Difference between exports and imports of goods, expressed as a percentage of GDP.",percent
Balance on Goods (% of GDP),13.12506,2009,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Difference between exports and imports of goods, expressed as a percentage of GDP.",percent
Balance on Goods (% of GDP),22.86916,2008,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Difference between exports and imports of goods, expressed as a percentage of GDP.",percent
Balance on Goods (% of GDP),18.4884,2002,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Difference between exports and imports of goods, expressed as a percentage of GDP.",percent
"Land, cropped, arable (%)",0.4306,1996,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Environment,"Land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than 5 years).",percent
"Land, cropped, arable (%)",0.43501,1997,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Environment,"Land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than 5 years).",percent
"Land, cropped, arable (%)",0.43943,1998,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Environment,"Land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than 5 years).",percent
"Land, cropped, arable (%)",0.44826,1999,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Environment,"Land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than 5 years).",percent
"Land, cropped, arable (%)",0.45268,2000,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Environment,"Land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than 5 years).",percent
"Land, cropped, arable (%)",0.4858,2002,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Environment,"Land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than 5 years).",percent
"Land, cropped, arable (%)",0.49684,2003,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Environment,"Land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than 5 years).",percent
"Land, cropped, arable (%)",0.50788,2004,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Environment,"Land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than 5 years).",percent
"Land, cropped, arable (%)",0.52997,2005,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Environment,"Land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than 5 years).",percent
"Land, cropped, arable (%)",0.55205,2006,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Environment,"Land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than 5 years).",percent
"Land, cropped, arable (%)",0.55205,2007,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Environment,"Land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than 5 years).",percent
"Land, cropped, arable (%)",0.66246,2008,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Environment,"Land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than 5 years).",percent
Urban Population,13.375,1999,Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.,United Nations,Papua New Guinea,PNG,The Pacific,People,The estimated population living in urban areas at mid-year as a percentage of the total mid-year population in a country.,percent of total population
Urban Population,13.182,2001,Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.,United Nations,Papua New Guinea,PNG,The Pacific,People,The estimated population living in urban areas at mid-year as a percentage of the total mid-year population in a country.,percent of total population
Urban Population,13.164,2002,Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.,United Nations,Papua New Guinea,PNG,The Pacific,People,The estimated population living in urban areas at mid-year as a percentage of the total mid-year population in a country.,percent of total population
Urban Population,13.127,2004,Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.,United Nations,Papua New Guinea,PNG,The Pacific,People,The estimated population living in urban areas at mid-year as a percentage of the total mid-year population in a country.,percent of total population
Urban Population,13.091,2006,Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.,United Nations,Papua New Guinea,PNG,The Pacific,People,The estimated population living in urban areas at mid-year as a percentage of the total mid-year population in a country.,percent of total population
Urban Population,13.073,2007,Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.,United Nations,Papua New Guinea,PNG,The Pacific,People,The estimated population living in urban areas at mid-year as a percentage of the total mid-year population in a country.,percent of total population
Urban Population,13.055,2008,Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.,United Nations,Papua New Guinea,PNG,The Pacific,People,The estimated population living in urban areas at mid-year as a percentage of the total mid-year population in a country.,percent of total population
Urban Population,13.037,2009,Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.,United Nations,Papua New Guinea,PNG,The Pacific,People,The estimated population living in urban areas at mid-year as a percentage of the total mid-year population in a country.,percent of total population
Urban Population,13.019,2010,Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.,United Nations,Papua New Guinea,PNG,The Pacific,People,The estimated population living in urban areas at mid-year as a percentage of the total mid-year population in a country.,percent of total population
Production Index: Agriculture,82.17,1996,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Economy and Output,Relative level of the aggregate volume of agricultural production for each year in comparison with the base period. The aggregate volume represents disposable production for any use except as seed and feed.,index
Production Index: Agriculture,83.08,1997,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Economy and Output,Relative level of the aggregate volume of agricultural production for each year in comparison with the base period. The aggregate volume represents disposable production for any use except as seed and feed.,index
Production Index: Agriculture,85.76,1998,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Economy and Output,Relative level of the aggregate volume of agricultural production for each year in comparison with the base period. The aggregate volume represents disposable production for any use except as seed and feed.,index
Production Index: Agriculture,88.89,1999,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Economy and Output,Relative level of the aggregate volume of agricultural production for each year in comparison with the base period. The aggregate volume represents disposable production for any use except as seed and feed.,index
Production Index: Agriculture,91.71,2000,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Economy and Output,Relative level of the aggregate volume of agricultural production for each year in comparison with the base period. The aggregate volume represents disposable production for any use except as seed and feed.,index
Production Index: Agriculture,90.73,2001,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Economy and Output,Relative level of the aggregate volume of agricultural production for each year in comparison with the base period. The aggregate volume represents disposable production for any use except as seed and feed.,index
Production Index: Agriculture,93.36,2002,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Economy and Output,Relative level of the aggregate volume of agricultural production for each year in comparison with the base period. The aggregate volume represents disposable production for any use except as seed and feed.,index
Production Index: Agriculture,96,2003,NULL,Food and Agriculture Organization,Papua New Guinea,PNG,The Pacific,Economy and Output,Relative level of the aggregate volume of agricultural production for each year in comparison with the base period. The aggregate volume represents disposable production for any use except as seed and feed.,index
